d band center is: -2.51040355551501 eV
energy      spin1_O                   spin2_O                   spin1_Cu                   spin2_Cu
-8.037     0.051771972               0.051640188               0.002905069               0.002905069               
-8.027     0.112032148               0.111784282               0.006296243               0.006296243               
-8.017     0.134824219               0.134623458               0.007595135               0.007595135               
-8.007     0.131763848               0.131688928               0.007440707               0.007440707               
-7.997     0.134233556               0.134226813               0.007582038               0.007582038               
-7.987     0.146293896               0.146327482               0.008191432               0.008191432               
-7.977     0.170881638               0.170964044               0.009344247               0.009344247               
-7.967     0.211884726               0.211958645               0.011198227               0.011198227               
-7.957     0.249629434               0.249612850               0.012875153               0.012875153               
-7.947     0.250783684               0.250695839               0.012900968               0.012900968               
-7.937     0.226123947               0.226006962               0.011828661               0.011828661               
-7.927     0.203277648               0.203167847               0.010921613               0.010921613               
-7.917     0.191641772               0.191587000               0.010537985               0.010537945               
-7.907     0.188484177               0.188455598               0.010538308               0.010536979               
-7.897     0.194897847               0.194684986               0.011061365               0.011045155               
-7.887     0.216831282               0.215869153               0.012422363               0.012349328               
-7.877     0.226542097               0.224886630               0.012935715               0.012810633               
-7.867     0.187401487               0.186217130               0.010508258               0.010411469               
-7.857     0.121491854               0.121009226               0.006674613               0.006618522               
-7.847     0.050262486               0.050108019               0.002735838               0.002710312               
-7.837     0.009779812               0.009750965               0.000530929               0.000525490               
-7.827     0.000764169               0.000761913               0.000041454               0.000041011               
-7.817     0.000022457               0.000022390               0.000001218               0.000001204               
-7.807     0.000000000               0.000000000               0.000000000               0.000000000               
-7.797     0.000000000               0.000000000               0.000000000               0.000000000               
-7.787     0.000000000               0.000000000               0.000000000               0.000000000               
-7.777     0.000000000               0.000000000               0.000000000               0.000000000               
-7.767     0.000000000               0.000000000               0.000000000               0.000000000               
-7.757     0.000000000               0.000000000               0.000000000               0.000000000               
-7.747     0.000000000               0.000000000               0.000000000               0.000000000               
-7.737     0.000000000               0.000000000               0.000000000               0.000000000               
-7.727     0.000000000               0.000000000               0.000000000               0.000000000               
-7.717     0.000000000               0.000000000               0.000000000               0.000000000               
-7.707     0.000000000               0.000000000               0.000000000               0.000000000               
-7.697     0.000000000               0.000000000               0.000000000               0.000000000               
-7.687     0.000115509               0.000115951               0.000004751               0.000004778               
-7.677     0.004110038               0.004123098               0.000170139               0.000170945               
-7.667     0.056206542               0.056332700               0.002348563               0.002356702               
-7.657     0.329616507               0.329777945               0.014019337               0.014035336               
-7.647     0.933362642               0.931781514               0.040642299               0.040576905               
-7.637     1.426102751               1.421921226               0.063292243               0.063101271               
-7.627     1.361321577               1.358088286               0.060891745               0.060757374               
-7.617     1.075540484               1.074457398               0.048033271               0.048002206               
-7.607     0.905268995               0.905074959               0.040342389               0.040345156               
-7.597     0.848014246               0.848175024               0.037874392               0.037898508               
-7.587     0.832508993               0.832904247               0.037228056               0.037267950               
-7.577     0.785858107               0.786304068               0.034842757               0.034866954               
-7.567     0.705737510               0.706134801               0.030783605               0.030789004               
-7.557     0.609196764               0.609579977               0.026268709               0.026269152               
-7.547     0.433980404               0.434298343               0.018741417               0.018741417               
-7.537     0.200528204               0.200660412               0.008924765               0.008924335               
-7.527     0.095946367               0.095748384               0.004542677               0.004537721               
-7.517     0.195664763               0.194830787               0.008674269               0.008655471               
-7.507     0.479563086               0.478552560               0.020505686               0.020489949               
-7.497     0.796888063               0.796505768               0.033672447               0.033686814               
-7.487     0.934454558               0.933840288               0.039148054               0.039150668               
-7.477     0.929297165               0.927425949               0.038617063               0.038549871               
-7.467     0.823643513               0.821038518               0.034132185               0.034018331               
-7.457     0.559124775               0.557711264               0.023498805               0.023450424               
-7.447     0.309517555               0.309353923               0.013557214               0.013580911               
-7.437     0.168659263               0.168773800               0.007857896               0.007880764               
-7.427     0.085944547               0.086024450               0.004223741               0.004229100               
-7.417     0.030794886               0.030825826               0.001554128               0.001554571               
-7.407     0.005798796               0.005804652               0.000294720               0.000294734               
-7.397     0.007648184               0.007645426               0.000363215               0.000363108               
-7.387     0.097929689               0.097842111               0.004606366               0.004602821               
-7.377     0.561333703               0.560356499               0.026148407               0.026105214               
-7.367     1.497248879               1.493088339               0.068896870               0.068703293               
-7.357     1.968088257               1.961678078               0.090020707               0.089701552               
-7.347     1.358810109               1.355535298               0.062978124               0.062784547               
-7.337     0.707013131               0.706601953               0.034282507               0.034239314               
-7.327     0.512974216               0.512949663               0.025902523               0.025898978               
-7.317     0.438236820               0.438277825               0.022331675               0.022331568               
-7.307     0.277236803               0.277401601               0.014088622               0.014088622               
-7.297     0.101318005               0.101432706               0.005121973               0.005121973               
-7.287     0.017920416               0.017946942               0.000902560               0.000902560               
